SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
14,2020-01-22,Hubei,Mainland China,1/22/2020 17:00,444,17,28
52,2020-01-23,Hubei,Mainland China,1/23/2020 17:00,444,17,28
85,2020-01-24,Hubei,Mainland China,1/24/2020 17:00,549,24,31
126,2020-01-25,Hubei,Mainland China,1/25/2020 17:00,761,40,32
170,2020-01-26,Hubei,Mainland China,1/26/2020 16:00,1058,52,42
217,2020-01-27,Hubei,Mainland China,1/27/2020 23:59,1423,76,45
268,2020-01-28,Hubei,Mainland China,1/28/2020 23:00,3554,125,80
320,2020-01-29,Hubei,Mainland China,1/29/2020 19:30,3554,125,88
374,2020-01-30,Hubei,Mainland China,1/30/2020 16:00,4903,162,90
432,2020-01-31,Hubei,Mainland China,1/31/2020 23:59,5806,204,141
494,2020-02-01,Hubei,Mainland China,02/01/2020 11:53,7153,249,168
561,2020-02-02,Hubei,Mainland China,2020-02-02T23:43:02,11177,350,295
628,2020-02-03,Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386
696,2020-02-04,Hubei,Mainland China,2020-02-04T23:43:01,16678,479,522
766,2020-02-05,Hubei,Mainland China,2020-02-05T23:13:12,19665,549,633
837,2020-02-06,Hubei,Mainland China,2020-02-06T23:23:02,22112,618,817
908,2020-02-07,Hubei,Mainland China,2020-02-07T23:43:02,24953,699,1115
980,2020-02-08,Hubei,Mainland China,2020-02-08T23:33:06,27100,780,1439
1052,2020-02-09,Hubei,Mainland China,2020-02-09T23:33:02,29631,871,1795
1124,2020-02-10,Hubei,Mainland China,2020-02-10T23:33:02,31728,974,2222
1196,2020-02-11,Hubei,Mainland China,2020-02-11T23:33:02,33366,1068,2639
1269,2020-02-12,Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686
1342,2020-02-13,Hubei,Mainland China,2020-02-13T14:13:06,48206,1310,3459
1416,2020-02-14,Hubei,Mainland China,2020-02-14T23:33:02,54406,1457,4774
1491,2020-02-15,Hubei,Mainland China,2020-02-15T23:13:05,56249,1596,5623
1566,2020-02-16,Hubei,Mainland China,2020-02-16T23:53:01,58182,1696,6639
1641,2020-02-17,Hubei,Mainland China,2020-02-17T23:13:06,59989,1789,7862
1716,2020-02-18,Hubei,Mainland China,2020-02-18T23:13:11,61682,1921,9128
1791,2020-02-19,Hubei,Mainland China,2020-02-19T23:23:02,62031,2029,10337
1867,2020-02-20,Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,11788
1943,2020-02-21,Hubei,Mainland China,2020-02-21T13:03:09,62662,2144,11881
2027,2020-02-22,Hubei,Mainland China,2020-02-22T23:33:06,64084,2346,15299
2111,2020-02-23,Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,15343
2196,2020-02-24,Hubei,Mainland China,2020-02-24T11:13:09,64287,2495,16748
2286,2020-02-25,Hubei,Mainland China,2020-02-25T15:23:04,64786,2563,18971
2380,2020-02-26,Hubei,Mainland China,2020-02-26T14:13:10,65187,2615,20969
2481,2020-02-27,Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383
2586,2020-02-28,Hubei,Mainland China,2020-02-28T00:43:01,65914,2682,26403
2700,2020-02-29,Hubei,Mainland China,2020-02-29T12:13:10,66337,2727,28993
2819,2020-03-01,Hubei,Mainland China,2020-03-01T10:13:19,66907,2761,31536
2944,2020-03-02,Hubei,Mainland China,2020-03-02T15:03:23,67103,2803,33934
3085,2020-03-03,Hubei,Mainland China,2020-03-03T11:43:02,67217,2835,36208
3236,2020-03-04,Hubei,Mainland China,2020-03-04T12:53:03,67332,2871,38557
3396,2020-03-05,Hubei,Mainland China,2020-03-05T14:53:03,67466,2902,40592
3569,2020-03-06,Hubei,Mainland China,2020-03-06T14:23:04,67592,2931,42033
3768,2020-03-07,Hubei,Mainland China,2020-03-07T11:13:04,67666,2959,43500
3993,2020-03-08,Hubei,Mainland China,2020-03-08T14:43:03,67707,2986,45235
4248,2020-03-09,Hubei,Mainland China,2020-03-09T14:33:03,67743,3008,46488
4514,2020-03-10,Hubei,Mainland China,2020-03-10T15:13:05,67760,3024,47743
4720,2020-03-11,Hubei,Mainland China,2020-03-11T10:53:02,67773,3046,49134
